learning start at Tue Apr 10 11:38:13 2018
('episode:', 10000, '/ miss:', 9859, ' / win:', 141, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.274509163624335e-06), (u'average_entropy', 3.52354936710688)])
('episode:', 170000, '/ miss:', 6547, ' / win:', 3453, ' / draw:', 0, ' / statistics:', [(u'average_value', 6.778959797248099e-16), (u'average_entropy', 0.8683072145728594)])
('episode:', 180000, '/ miss:', 6244, ' / win:', 3756, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.2296068243821326e-08), (u'average_entropy', 0.7190885749578699)])
('episode:', 190000, '/ miss:', 5755, ' / win:', 4245, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.2600869280677914e-08), (u'average_entropy', 0.34659720161905)])
('episode:', 200000, '/ miss:', 5378, ' / win:', 4622, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.593430096002325e-09), (u'average_entropy', 0.304582891481805)])
('episode:', 210000, '/ miss:', 4614, ' / win:', 5386, ' / draw:', 0, ' / statistics:', [(u'average_value', 7.992326873112713e-25), (u'average_entropy', 0.15693181571077486)])
('episode:', 220000, '/ miss:', 4109, ' / win:', 5891, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.2764320286071148e-40), (u'average_entropy', 0.16148100098427928)])
('episode:', 230000, '/ miss:', 3261, ' / win:', 6739, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.5585655194362484), (u'average_entropy', 0.12819399297741696)])
('episode:', 240000, '/ miss:', 2343, ' / win:', 7657, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.6536008010012327), (u'average_entropy', 0.09865375043341039)])
('episode:', 250000, '/ miss:', 1966, ' / win:', 8034, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7080988869550444), (u'average_entropy', 0.09152201011010082)])
('episode:', 260000, '/ miss:', 1740, ' / win:', 8260, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7403375905995232), (u'average_entropy', 0.09370233616447923)])
('episode:', 270000, '/ miss:', 1722, ' / win:', 8278, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.6691802875932165), (u'average_entropy', 0.09364046756805229)])
('episode:', 280000, '/ miss:', 1655, ' / win:', 8345, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7313644654233616), (u'average_entropy', 0.09224427811802922)])
('episode:', 290000, '/ miss:', 1594, ' / win:', 8406, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7654222660689362), (u'average_entropy', 0.09173777723522522)])
('episode:', 300000, '/ miss:', 1564, ' / win:', 8436, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7782850665372999), (u'average_entropy', 0.09095916988142473)])
('episode:', 310000, '/ miss:', 1476, ' / win:', 8524, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7602687671225564), (u'average_entropy', 0.09434449912279232)])
('episode:', 320000, '/ miss:', 1626, ' / win:', 8374, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7823330977599534), (u'average_entropy', 0.09551034199805053)])
('episode:', 330000, '/ miss:', 1519, ' / win:', 8481, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7774302058178393), (u'average_entropy', 0.10637726961647916)])
('episode:', 340000, '/ miss:', 1405, ' / win:', 8595, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8049583044753793), (u'average_entropy', 0.13331010421236614)])
('episode:', 350000, '/ miss:', 1500, ' / win:', 8500, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7556615860346795), (u'average_entropy', 0.12912992185506464)])
('episode:', 360000, '/ miss:', 1440, ' / win:', 8560, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7620796224824994), (u'average_entropy', 0.1298223472384738)])
('episode:', 370000, '/ miss:', 1481, ' / win:', 8519, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8116277073982573), (u'average_entropy', 0.16327337018280688)])
('episode:', 380000, '/ miss:', 1455, ' / win:', 8545, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7961393093093582), (u'average_entropy', 0.2483784697202502)])
('episode:', 390000, '/ miss:', 1138, ' / win:', 8862, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8397170374205698), (u'average_entropy', 0.22877630444475466)])
('episode:', 400000, '/ miss:', 995, ' / win:', 9005, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8337397407801511), (u'average_entropy', 0.24961018680187844)])
('episode:', 410000, '/ miss:', 5356, ' / win:', 4644, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.1098143162025088), (u'average_entropy', 0.2938085190357914)])
('episode:', 420000, '/ miss:', 4421, ' / win:', 5579, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.3858367818732441), (u'average_entropy', 0.18832182759389351)])
('episode:', 430000, '/ miss:', 2964, ' / win:', 7036, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.5647094603715704), (u'average_entropy', 0.12181462036635994)])
('episode:', 440000, '/ miss:', 2597, ' / win:', 7403, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.6477966143385602), (u'average_entropy', 0.10793666552368458)])
('episode:', 450000, '/ miss:', 1938, ' / win:', 8062, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7224346124194198), (u'average_entropy', 0.1013863684437684)])
('episode:', 460000, '/ miss:', 1685, ' / win:', 8315, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7123587253472048), (u'average_entropy', 0.08873183651509514)])
('episode:', 470000, '/ miss:', 1636, ' / win:', 8364, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7221552743047789), (u'average_entropy', 0.08237045781794973)])
('episode:', 480000, '/ miss:', 1911, ' / win:', 8089, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.6792594252970521), (u'average_entropy', 0.0929278454870136)])
('episode:', 490000, '/ miss:', 1613, ' / win:', 8387, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7605501188193995), (u'average_entropy', 0.09614561468187374)])
('episode:', 500000, '/ miss:', 1602, ' / win:', 8398, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7317464569807217), (u'average_entropy', 0.10853413073455767)])
('episode:', 510000, '/ miss:', 1509, ' / win:', 8491, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7562797580511651), (u'average_entropy', 0.10955447855151787)])
('episode:', 520000, '/ miss:', 1375, ' / win:', 8625, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8004950910511475), (u'average_entropy', 0.10408120678644715)])
('episode:', 530000, '/ miss:', 1095, ' / win:', 8905, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8115449767899983), (u'average_entropy', 0.07728868155448627)])
('episode:', 540000, '/ miss:', 1061, ' / win:', 8939, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.785121576670998), (u'average_entropy', 0.08074267435268793)])
('episode:', 550000, '/ miss:', 972, ' / win:', 9028, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8204466374180214), (u'average_entropy', 0.08413642495831337)])
('episode:', 560000, '/ miss:', 7045, ' / win:', 2955, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.951212253652883e-06), (u'average_entropy', 0.11076024175279559)])
('episode:', 570000, '/ miss:', 7074, ' / win:', 2926, ' / draw:', 0, ' / statistics:', [(u'average_value', 6.594490259967838e-05), (u'average_entropy', 0.12078077324422058)])
('episode:', 580000, '/ miss:', 6914, ' / win:', 3086, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.48069316108531e-26), (u'average_entropy', 0.08674909043748741)])
('episode:', 590000, '/ miss:', 6926, ' / win:', 3074, ' / draw:', 0, ' / statistics:', [(u'average_value', 7.033379987832075e-06), (u'average_entropy', 0.13208361948883265)])
('episode:', 600000, '/ miss:', 7029, ' / win:', 2971, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.990225613533715e-07), (u'average_entropy', 0.1601010108920702)])
learning start at Fri Apr 13 17:37:26 2018
('episode:', 10000, '/ miss:', 9851, ' / win:', 149, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.998822840841643e-06), (u'average_entropy', 3.524794900134023)])
learning start at Fri Apr 13 17:44:24 2018
('episode:', 10000, '/ miss:', 9831, ' / win:', 169, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.872395312025592e-11), (u'average_entropy', 3.518165597794055)])
('episode:', 20000, '/ miss:', 9838, ' / win:', 162, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.464262518290659e-08), (u'average_entropy', 3.5212381473955956)])
('episode:', 30000, '/ miss:', 9832, ' / win:', 168, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.034558220350885e-14), (u'average_entropy', 3.5204143367022596)])
('episode:', 40000, '/ miss:', 9863, ' / win:', 137, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.561167154987809e-21), (u'average_entropy', 3.5172071435331667)])
('episode:', 50000, '/ miss:', 9850, ' / win:', 150, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.882101691908793e-28), (u'average_entropy', 3.518657912319507)])
('episode:', 60000, '/ miss:', 9855, ' / win:', 145, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.394862857577511e-34), (u'average_entropy', 3.5152042904258365)])
('episode:', 70000, '/ miss:', 9849, ' / win:', 151, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.9511830599883367e-41), (u'average_entropy', 3.502006420875869)])
('episode:', 80000, '/ miss:', 9853, ' / win:', 147, ' / draw:', 0, ' / statistics:', [(u'average_value', 6.77783128542911e-48), (u'average_entropy', 3.4867189374331162)])
('episode:', 90000, '/ miss:', 9855, ' / win:', 145, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.538052704214079e-54), (u'average_entropy', 3.501903551013186)])
('episode:', 100000, '/ miss:', 9843, ' / win:', 157, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.7198543421630426e-09), (u'average_entropy', 3.509623821314848)])
('episode:', 110000, '/ miss:', 9832, ' / win:', 168, ' / draw:', 0, ' / statistics:', [(u'average_value', 7.352647969359669e-16), (u'average_entropy', 3.50074226942643)])
('episode:', 120000, '/ miss:', 9827, ' / win:', 173, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.53246560532307e-22), (u'average_entropy', 3.504332762488089)])
('episode:', 130000, '/ miss:', 9824, ' / win:', 176, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.7599357987677525e-29), (u'average_entropy', 3.4904135651393573)])
('episode:', 140000, '/ miss:', 9855, ' / win:', 145, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.7386733180170687e-08), (u'average_entropy', 3.4647780209284798)])
('episode:', 150000, '/ miss:', 9828, ' / win:', 172, ' / draw:', 0, ' / statistics:', [(u'average_value', 7.750687161465489e-08), (u'average_entropy', 3.4391802860537632)])
('episode:', 160000, '/ miss:', 9807, ' / win:', 193, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.1199678358677574e-10), (u'average_entropy', 3.186245583994373)])
('episode:', 170000, '/ miss:', 9742, ' / win:', 258, ' / draw:', 0, ' / statistics:', [(u'average_value', 9.003316425503746e-18), (u'average_entropy', 2.717861818965882)])
('episode:', 180000, '/ miss:', 9460, ' / win:', 540, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.2129548833829658e-26), (u'average_entropy', 2.4375634461400453)])
('episode:', 190000, '/ miss:', 9272, ' / win:', 728, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.625055201376134e-36), (u'average_entropy', 2.1790549868801614)])
('episode:', 200000, '/ miss:', 8894, ' / win:', 1106, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.937643004585937e-47), (u'average_entropy', 1.3815324680632988)])
('episode:', 210000, '/ miss:', 6869, ' / win:', 3131, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.928017547575769e-61), (u'average_entropy', 0.8605348816289522)])
('episode:', 220000, '/ miss:', 5448, ' / win:', 4552, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.478970111910676e-76), (u'average_entropy', 0.32896964399284917)])
('episode:', 230000, '/ miss:', 5048, ' / win:', 4952, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.105430083954939e-91), (u'average_entropy', 0.4689122293335401)])
('episode:', 240000, '/ miss:', 5047, ' / win:', 4953, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.0668217637888065e-106), (u'average_entropy', 0.4118489492417551)])
('episode:', 250000, '/ miss:', 4283, ' / win:', 5717, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.9521353406996543e-122), (u'average_entropy', 0.2809574568943038)])
('episode:', 260000, '/ miss:', 3536, ' / win:', 6464, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.561660924286851e-138), (u'average_entropy', 0.15667778316112968)])
('episode:', 270000, '/ miss:', 2644, ' / win:', 7356, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.658380446129147e-155), (u'average_entropy', 0.11863329180064933)])
('episode:', 280000, '/ miss:', 2267, ' / win:', 7733, ' / draw:', 0, ' / statistics:', [(u'average_value', 9.596520785477315e-172), (u'average_entropy', 0.08916285898017341)])
('episode:', 290000, '/ miss:', 2157, ' / win:', 7843, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.72371138224179e-188), (u'average_entropy', 0.08387094958658069)])
('episode:', 300000, '/ miss:', 2201, ' / win:', 7799, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.6118533098123204e-205), (u'average_entropy', 0.06559172200648215)])
('episode:', 310000, '/ miss:', 1919, ' / win:', 8081, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.905228922069163e-222), (u'average_entropy', 0.05076079408719732)])
('episode:', 320000, '/ miss:', 1696, ' / win:', 8304, ' / draw:', 0, ' / statistics:', [(u'average_value', 7.967409000542891e-239), (u'average_entropy', 0.029545323967549587)])
('episode:', 330000, '/ miss:', 1544, ' / win:', 8456, ' / draw:', 0, ' / statistics:', [(u'average_value', 9.429234645922024e-256), (u'average_entropy', 0.023765083723253106)])
('episode:', 340000, '/ miss:', 1669, ' / win:', 8331, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.1909102685165445e-272), (u'average_entropy', 0.024036171171580762)])
('episode:', 350000, '/ miss:', 1535, ' / win:', 8465, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.2893381212115112e-289), (u'average_entropy', 0.021736616043021118)])
('episode:', 360000, '/ miss:', 1496, ' / win:', 8504, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7814379742171889), (u'average_entropy', 0.03137167417882902)])
('episode:', 370000, '/ miss:', 1482, ' / win:', 8518, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.763034469527557), (u'average_entropy', 0.0583218962774862)])
('episode:', 380000, '/ miss:', 1510, ' / win:', 8490, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7463114847021473), (u'average_entropy', 0.08006086527956457)])
('episode:', 390000, '/ miss:', 1524, ' / win:', 8476, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8064629812784707), (u'average_entropy', 0.07427888237069813)])
('episode:', 400000, '/ miss:', 1488, ' / win:', 8512, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7606357190322593), (u'average_entropy', 0.08718889326245469)])
('episode:', 410000, '/ miss:', 1499, ' / win:', 8501, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7685542510282598), (u'average_entropy', 0.06642593386746486)])
('episode:', 420000, '/ miss:', 1448, ' / win:', 8552, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7704169250090591), (u'average_entropy', 0.0960926780954112)])
('episode:', 430000, '/ miss:', 1348, ' / win:', 8652, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8238536145092218), (u'average_entropy', 0.10037114651821376)])
('episode:', 440000, '/ miss:', 1054, ' / win:', 8946, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8320970599094684), (u'average_entropy', 0.06079360342320898)])
('episode:', 450000, '/ miss:', 932, ' / win:', 9068, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8224101678028785), (u'average_entropy', 0.06022902271690329)])
('episode:', 460000, '/ miss:', 5637, ' / win:', 4363, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.12240113109773826), (u'average_entropy', 0.043297239495993435)])
('episode:', 470000, '/ miss:', 5608, ' / win:', 4392, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.10753511110479974), (u'average_entropy', 0.06814250164451224)])
('episode:', 480000, '/ miss:', 5527, ' / win:', 4473, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.13455676652007295), (u'average_entropy', 0.05882490053359194)])
('episode:', 490000, '/ miss:', 5649, ' / win:', 4351, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.10001355948868544), (u'average_entropy', 0.04654941479286367)])
('episode:', 500000, '/ miss:', 5461, ' / win:', 4539, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.11268770761243115), (u'average_entropy', 0.07639702435642941)])
('episode:', 510000, '/ miss:', 5495, ' / win:', 4505, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.12803390265910722), (u'average_entropy', 0.06520974499917968)])
('episode:', 520000, '/ miss:', 5511, ' / win:', 4489, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.14139311773504476), (u'average_entropy', 0.04238428378613904)])
('episode:', 530000, '/ miss:', 5483, ' / win:', 4517, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.20489015180250303), (u'average_entropy', 0.056279294428597144)])
('episode:', 540000, '/ miss:', 5603, ' / win:', 4397, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.17241957851110495), (u'average_entropy', 0.2224823685412438)])
('episode:', 550000, '/ miss:', 4737, ' / win:', 5263, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.21252499389117094), (u'average_entropy', 0.3231098794743145)])
('episode:', 560000, '/ miss:', 3780, ' / win:', 6220, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.45814982654455927), (u'average_entropy', 0.12899290855301193)])
('episode:', 570000, '/ miss:', 2655, ' / win:', 7345, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.6214790891036012), (u'average_entropy', 0.060187493901326564)])
('episode:', 580000, '/ miss:', 2060, ' / win:', 7940, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.6322816918290814), (u'average_entropy', 0.06416167195042431)])
('episode:', 590000, '/ miss:', 1683, ' / win:', 8317, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7211318876545889), (u'average_entropy', 0.07168527976693338)])
('episode:', 600000, '/ miss:', 1514, ' / win:', 8486, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.6980692041682114), (u'average_entropy', 0.054126412047809144)])
('episode:', 610000, '/ miss:', 1609, ' / win:', 8391, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7216435231824753), (u'average_entropy', 0.051309333800392806)])
('episode:', 620000, '/ miss:', 1607, ' / win:', 8393, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7126666939647369), (u'average_entropy', 0.07831729327724656)])
('episode:', 630000, '/ miss:', 1573, ' / win:', 8427, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7577310995456948), (u'average_entropy', 0.06431965144637862)])
('episode:', 640000, '/ miss:', 1602, ' / win:', 8398, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7390726529520312), (u'average_entropy', 0.08022122243844775)])
('episode:', 650000, '/ miss:', 1562, ' / win:', 8438, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7758805686605028), (u'average_entropy', 0.0684250235567604)])
('episode:', 660000, '/ miss:', 1527, ' / win:', 8473, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7862123512971975), (u'average_entropy', 0.07454610567687302)])
('episode:', 670000, '/ miss:', 1637, ' / win:', 8363, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7239707073544176), (u'average_entropy', 0.09340648402368076)])
('episode:', 680000, '/ miss:', 1563, ' / win:', 8437, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7452213967325074), (u'average_entropy', 0.08008343339155809)])
('episode:', 690000, '/ miss:', 1438, ' / win:', 8562, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7362675502349149), (u'average_entropy', 0.06272275298876855)])
('episode:', 700000, '/ miss:', 1358, ' / win:', 8642, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7877838960631701), (u'average_entropy', 0.12115321903457694)])
('episode:', 710000, '/ miss:', 1155, ' / win:', 8845, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.7844817234100626), (u'average_entropy', 0.1357823418249112)])
('episode:', 720000, '/ miss:', 912, ' / win:', 9088, ' / draw:', 0, ' / statistics:', [(u'average_value', 0.8338284008303062), (u'average_entropy', 0.08907927495754057)])
('episode:', 730000, '/ miss:', 6175, ' / win:', 3825, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.1523771944169147e-05), (u'average_entropy', 0.09385744666280266)])
('episode:', 740000, '/ miss:', 4731, ' / win:', 5269, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.520634196375548e-05), (u'average_entropy', 0.09445126990664955)])
('episode:', 750000, '/ miss:', 4647, ' / win:', 5353, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.3375017210824437e-07), (u'average_entropy', 0.08852879087160352)])
('episode:', 760000, '/ miss:', 4354, ' / win:', 5646, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.550316311334679e-07), (u'average_entropy', 0.07905825300519059)])
('episode:', 770000, '/ miss:', 4387, ' / win:', 5613, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.2727077623012e-05), (u'average_entropy', 0.11107149364000564)])
('episode:', 780000, '/ miss:', 4229, ' / win:', 5771, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.260482592170455e-05), (u'average_entropy', 0.08975050787026831)])
('episode:', 790000, '/ miss:', 4289, ' / win:', 5711, ' / draw:', 0, ' / statistics:', [(u'average_value', 7.121469515966465e-06), (u'average_entropy', 0.0881457855171429)])
('episode:', 800000, '/ miss:', 4229, ' / win:', 5771, ' / draw:', 0, ' / statistics:', [(u'average_value', 3.4893036095966807e-10), (u'average_entropy', 0.10255835035138985)])
('episode:', 810000, '/ miss:', 4169, ' / win:', 5831, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.118153824037197e-07), (u'average_entropy', 0.12177402546393641)])
('episode:', 820000, '/ miss:', 4149, ' / win:', 5851, ' / draw:', 0, ' / statistics:', [(u'average_value', 1.971968173516622e-07), (u'average_entropy', 0.10779737488583611)])
('episode:', 830000, '/ miss:', 4303, ' / win:', 5697, ' / draw:', 0, ' / statistics:', [(u'average_value', 9.429707214942654e-11), (u'average_entropy', 0.16105150613173874)])
('episode:', 840000, '/ miss:', 3586, ' / win:', 6414, ' / draw:', 0, ' / statistics:', [(u'average_value', 4.63310700549818e-50), (u'average_entropy', 0.2070431781784286)])
('episode:', 850000, '/ miss:', 1993, ' / win:', 8007, ' / draw:', 0, ' / statistics:', [(u'average_value', 6.015924778291624e-117), (u'average_entropy', 0.10525123937368043)])
('episode:', 860000, '/ miss:', 1084, ' / win:', 8916, ' / draw:', 0, ' / statistics:', [(u'average_value', 5.805917695436736e-185), (u'average_entropy', 0.08097658246868629)])
('episode:', 870000, '/ miss:', 730, ' / win:', 9270, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.4300881148399602e-253), (u'average_entropy', 0.0707888345219707)])
('episode:', 880000, '/ miss:', 1056, ' / win:', 8944, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.06985236615327807)])
('episode:', 890000, '/ miss:', 988, ' / win:', 9012, ' / draw:', 0, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.07570494544875277)])
('episode:', 900000, '/ miss:', 1072, ' / win:', 3621, ' / draw:', 5307, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.07717066134981834)])
('episode:', 910000, '/ miss:', 1029, ' / win:', 4962, ' / draw:', 4009, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.05242153078953261)])
('episode:', 920000, '/ miss:', 1007, ' / win:', 5262, ' / draw:', 3731, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.05883189175411553)])
('episode:', 930000, '/ miss:', 927, ' / win:', 5731, ' / draw:', 3342, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.05101958784214904)])
('episode:', 940000, '/ miss:', 675, ' / win:', 6249, ' / draw:', 3076, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.0452405680618645)])
('episode:', 950000, '/ miss:', 648, ' / win:', 6416, ' / draw:', 2936, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.050816519308211974)])
('episode:', 960000, '/ miss:', 761, ' / win:', 6334, ' / draw:', 2905, ' / statistics:', [(u'average_value', 2.465e-321), (u'average_entropy', 0.030200704014305566)])
